Table: Two-sample t-tests results by Experiment Condition

|variable   | estimate| estimate1| estimate2|.y.   |group1  |group2    |  n1|  n2| statistic|       df| conf.low| conf.high|     p|p.signif |method |alternative |
|:----------|--------:|---------:|---------:|:-----|:-------|:---------|---:|---:|---------:|--------:|--------:|---------:|-----:|:--------|:------|:-----------|
|q19_dum    |   -0.047|     0.783|     0.830|value |Control |Treatment | 654| 659|    -2.165| 1297.880|   -0.090|    -0.004| 0.031|*        |T-test |two.sided   |
|q20_dum    |   -0.038|     0.791|     0.830|value |Control |Treatment | 652| 658|    -1.773| 1298.181|   -0.081|     0.004| 0.076|ns       |T-test |two.sided   |
|q21_dum    |   -0.025|     0.822|     0.847|value |Control |Treatment | 651| 659|    -1.213| 1301.154|   -0.065|     0.015| 0.226|ns       |T-test |two.sided   |
|q22_dum    |   -0.065|     0.762|     0.827|value |Control |Treatment | 651| 658|    -2.908| 1285.863|   -0.109|    -0.021| 0.004|**       |T-test |two.sided   |
|q23_dum    |   -0.036|     0.771|     0.807|value |Control |Treatment | 650| 657|    -1.591| 1298.067|   -0.080|     0.008| 0.112|ns       |T-test |two.sided   |
|q24_dum    |   -0.065|     0.692|     0.757|value |Control |Treatment | 647| 659|    -2.625| 1293.113|   -0.113|    -0.016| 0.009|**       |T-test |two.sided   |
|q25_dum    |    0.077|     0.536|     0.459|value |Control |Treatment | 647| 658|     2.801| 1302.596|    0.023|     0.132| 0.005|**       |T-test |two.sided   |
|q26_dum    |   -0.065|     0.776|     0.840|value |Control |Treatment | 646| 657|    -2.967| 1273.904|   -0.107|    -0.022| 0.003|**       |T-test |two.sided   |
|q27_dum    |   -0.042|     0.739|     0.781|value |Control |Treatment | 644| 654|    -1.782| 1288.592|   -0.089|     0.004| 0.075|ns       |T-test |two.sided   |
|q28_1_dum  |    0.045|     0.462|     0.417|value |Control |Treatment | 639| 655|     1.626| 1290.341|   -0.009|     0.099| 0.104|ns       |T-test |two.sided   |
|q28_2_dum  |    0.069|     0.437|     0.368|value |Control |Treatment | 639| 653|     2.536| 1286.786|    0.016|     0.123| 0.011|*        |T-test |two.sided   |
|q28_3_dum  |    0.069|     0.490|     0.421|value |Control |Treatment | 639| 653|     2.483| 1288.502|    0.014|     0.123| 0.013|*        |T-test |two.sided   |
|q28_4_dum  |    0.026|     0.347|     0.321|value |Control |Treatment | 639| 654|     1.002| 1288.634|   -0.025|     0.078| 0.316|ns       |T-test |two.sided   |
|q28_5_dum  |    0.078|     0.394|     0.317|value |Control |Treatment | 639| 654|     2.931| 1284.220|    0.026|     0.130| 0.003|**       |T-test |two.sided   |
|q29_dum    |   -0.045|     0.730|     0.775|value |Control |Treatment | 637| 654|    -1.884| 1279.122|   -0.092|     0.002| 0.060|ns       |T-test |two.sided   |
|q30_dum    |   -0.035|     0.822|     0.856|value |Control |Treatment | 639| 655|    -1.707| 1275.863|   -0.075|     0.005| 0.088|ns       |T-test |two.sided   |
|q31_dum    |   -0.035|     0.834|     0.868|value |Control |Treatment | 637| 652|    -1.738| 1269.086|   -0.073|     0.004| 0.082|ns       |T-test |two.sided   |
|q32_dum    |   -0.028|     0.843|     0.871|value |Control |Treatment | 638| 653|    -1.443| 1274.835|   -0.066|     0.010| 0.149|ns       |T-test |two.sided   |
|q33_dum    |   -0.044|     0.818|     0.862|value |Control |Treatment | 638| 653|    -2.157| 1265.937|   -0.084|    -0.004| 0.031|*        |T-test |two.sided   |
|q34_dum    |   -0.011|     0.840|     0.851|value |Control |Treatment | 638| 651|    -0.540| 1283.921|   -0.050|     0.029| 0.590|ns       |T-test |two.sided   |
|q35_dum    |   -0.005|     0.781|     0.786|value |Control |Treatment | 636| 651|    -0.219| 1283.703|   -0.050|     0.040| 0.826|ns       |T-test |two.sided   |
|q36_dum    |    0.037|     0.369|     0.332|value |Control |Treatment | 637| 651|     1.396| 1283.260|   -0.015|     0.089| 0.163|ns       |T-test |two.sided   |
|q37_dum    |   -0.020|     0.860|     0.880|value |Control |Treatment | 636| 649|    -1.052| 1273.827|   -0.057|     0.017| 0.293|ns       |T-test |two.sided   |
|q38_dum    |    0.012|     0.912|     0.900|value |Control |Treatment | 636| 651|     0.725| 1283.604|   -0.020|     0.044| 0.469|ns       |T-test |two.sided   |
|q39_dum    |    0.018|     0.835|     0.817|value |Control |Treatment | 635| 649|     0.850| 1281.541|   -0.024|     0.060| 0.396|ns       |T-test |two.sided   |
